UniqueKey,Health,Mana,AttackPower,AttackRange,MoveSpeed,DetectionRange,ChaseRange,ModelNumber,DropItem,AttackType,BulletID
1,184,48,28,8.3,4.5,6.9,12.4,1,48;92;70.0,51,
2,390,127,53,5.3,5.4,11,15,2,68;14;43.1,78,
3,406,148,58,9.2,2.4,12.8,10.9,3,53;73;30.1,30,
4,249,59,41,7.8,3,10,20.1,4,28;81;19.0,37,
5,238,162,97,3.3,9.1,6.1,11.1,5,28;31;80.1,70,
6,456,140,35,3.3,3.6,10.5,17.1,6,51;5;14.1,39,
7,295,190,81,2.5,3.6,8.1,15,7,4;57;89.0,79,
8,325,93,56,3.4,3.5,9,10.3,8,68;4;96.1,92,
9,164,125,95,6.5,5.8,9.8,16,9,46;16;40.1,92,
10,100,115,12,4,6.8,18.2,22.6,10,22;96;38.1,24,
